+--------------------+-----------+---------------+----------------+--------------+
|        Word        | Term Freq | Document Freq | Adjacency Freq | Keyword Freq |
|     experiment     |     2     |       2       |       2        |      0       |
|        word        |     4     |       1       |       1        |      2       |
|      optimal       |     2     |       2       |       2        |      1       |
|      spotting      |     4     |       1       |       1        |      2       |
|      treating      |     1     |       1       |       1        |      0       |
|       social       |     7     |       2       |       2        |      4       |
|     behaviors      |     2     |       1       |       1        |      1       |
|      details       |     2     |       2       |       2        |      0       |
|      physical      |     5     |       3       |       3        |      2       |
|    compression     |     2     |       1       |       1        |      1       |
|         w          |     4     |       2       |       2        |      0       |
|       behave       |     2     |       2       |       2        |      0       |
|      english       |     3     |       1       |       1        |      1       |
|      contains      |     1     |       1       |       1        |      0       |
|      dynamic       |     7     |       4       |       4        |      3       |
|      original      |     3     |       3       |       3        |      0       |
|       avoid        |     4     |       4       |       4        |      0       |
|       caused       |     2     |       2       |       2        |      0       |
|      analysis      |     7     |       5       |       5        |      3       |
|       basic        |     2     |       2       |       2        |      0       |
|      backward      |     2     |       1       |       1        |      1       |
|        code        |     8     |       2       |       2        |      2       |
|      advanced      |     4     |       4       |       4        |      0       |
|    parallelism     |     3     |       1       |       1        |      1       |
|     component      |     3     |       1       |       1        |      1       |
|        real        |     4     |       4       |       4        |      3       |
|     statements     |     1     |       1       |       1        |      1       |
|    entanglement    |     1     |       1       |       1        |      1       |
|    measurements    |     11    |       5       |       5        |      6       |
|       hardy        |     3     |       1       |       1        |      1       |
|       appear       |     1     |       1       |       1        |      0       |
|     mechanism      |     5     |       3       |       3        |      1       |
|    architecture    |     15    |       5       |       5        |      6       |
|      scalable      |     3     |       2       |       2        |      0       |
|       inside       |     2     |       2       |       2        |      0       |
|     providing      |     7     |       6       |       6        |      0       |
|      services      |     9     |       6       |       6        |      3       |
|     aggregated     |     4     |       1       |       1        |      0       |
|       first        |     15    |       11      |       11       |      2       |
|       toward       |     4     |       4       |       4        |      0       |
|       normal       |     1     |       1       |       1        |      0       |
|       hosts        |     2     |       1       |       1        |      0       |
|      service       |     5     |       2       |       2        |      3       |
|       offers       |     5     |       4       |       4        |      0       |
|    environments    |     6     |       5       |       5        |      2       |
|    replication     |     4     |       1       |       1        |      2       |
|     replicated     |     1     |       1       |       1        |      0       |
|      accuracy      |     3     |       2       |       2        |      1       |
|      defined       |     7     |       4       |       4        |      0       |
|     invaluable     |     1     |       1       |       1        |      0       |
|        form        |     2     |       1       |       1        |      0       |
|       pages        |     2     |       1       |       1        |      0       |
|     specifying     |     3     |       3       |       3        |      0       |
|        page        |     2     |       1       |       1        |      0       |
|        semi        |     3     |       1       |       1        |      2       |
|     invertible     |     2     |       1       |       1        |      1       |
|       finite       |     16    |       4       |       4        |      5       |
|       memory       |     12    |       3       |       3        |      5       |
|     introduced     |     3     |       3       |       3        |      0       |
|       mutual       |     2     |       2       |       2        |      1       |
|      obtained      |     8     |       7       |       7        |      0       |
|      inverse       |     1     |       1       |       1        |      1       |
|    nonemptiness    |     1     |       1       |       1        |      0       |
|  superadditivity   |     1     |       1       |       1        |      0       |
|      whether       |     2     |       2       |       2        |      0       |
|       primal       |     1     |       1       |       1        |      0       |
|   approximations   |     1     |       1       |       1        |      1       |
|     approaches     |     6     |       6       |       6        |      1       |
|     computing      |     15    |       6       |       6        |      2       |
|        lcp         |     1     |       1       |       1        |      0       |
|       speed        |     17    |       4       |       4        |      7       |
|       built        |     3     |       3       |       3        |      0       |
|      present       |     5     |       3       |       3        |      0       |
|     explained      |     1     |       1       |       1        |      0       |
|       farkas       |     1     |       1       |       1        |      1       |
|     asserting      |     1     |       1       |       1        |      0       |
|       holds        |     1     |       1       |       1        |      0       |
|      arising       |     2     |       1       |       1        |      0       |
|      implies       |     2     |       2       |       2        |      0       |
|      together      |     5     |       5       |       5        |      0       |
|       omega        |     1     |       1       |       1        |      0       |
|      compact       |     1     |       1       |       1        |      0       |
|    semidefinite    |     4     |       1       |       1        |      2       |
|      problems      |     18    |       10      |       10       |      3       |
|       arise        |     2     |       2       |       2        |      0       |
|       gamma        |     6     |       1       |       1        |      0       |
|       assume       |     1     |       1       |       1        |      0       |
|      shrinks       |     1     |       1       |       1        |      0       |
|         p          |     14    |       3       |       3        |      1       |
|       gowda        |     1     |       1       |       1        |      0       |
|      property      |     15    |       1       |       1        |      2       |
|         l          |     3     |       2       |       2        |      0       |
|       imply        |     3     |       1       |       1        |      0       |
|        need        |     5     |       3       |       3        |      0       |
|      popular       |     4     |       4       |       4        |      0       |
|    generalized     |     1     |       1       |       1        |      1       |
|   approximating    |     1     |       1       |       1        |      1       |
|     obtaining      |     1     |       1       |       1        |      0       |
|        cbr         |     10    |       1       |       1        |      1       |
|       cases        |     4     |       2       |       2        |      2       |
|   calcification    |     7     |       1       |       1        |      3       |
|    distribution    |     2     |       1       |       1        |      1       |
|     morphology     |     5     |       2       |       2        |      2       |
|        mass        |     8     |       1       |       1        |      4       |
|       number       |     3     |       1       |       1        |      1       |
|       margin       |     3     |       1       |       1        |      1       |
|       shape        |     5     |       2       |       2        |      3       |
|      special       |     5     |       4       |       4        |      1       |
|    performance     |     20    |       8       |       8        |      7       |
|      receiver      |     1     |       1       |       1        |      1       |
|    influential     |     5     |       2       |       2        |      1       |
|     thresholds     |     1     |       1       |       1        |      1       |
|         be         |     9     |       5       |       5        |      0       |
|        age         |     6     |       4       |       4        |      3       |
|       useful       |     5     |       4       |       4        |      0       |
|    recommending    |     1     |       1       |       1        |      0       |
|       likely       |     1     |       1       |       1        |      0       |
|       masses       |     3     |       1       |       1        |      1       |
|     frequency      |     6     |       3       |       3        |      2       |
|    mammography     |     1     |       1       |       1        |      1       |
|    characterize    |     2     |       2       |       2        |      0       |
|      complete      |     4     |       4       |       4        |      0       |
|       derive       |     4     |       3       |       3        |      0       |
|        take        |     6     |       5       |       5        |      0       |
|     materials      |     1     |       1       |       1        |      0       |
|     conclusion     |     2     |       2       |       2        |      0       |
|        wide        |     2     |       2       |       2        |      0       |
|     deviations     |     2     |       1       |       1        |      0       |
|        low         |     6     |       5       |       5        |      1       |
|      produced      |     6     |       4       |       4        |      0       |
|     guarantee      |     1     |       1       |       1        |      0       |
|     segmented      |     1     |       1       |       1        |      1       |
|     asymmetric     |     1     |       1       |       1        |      1       |
|     symmetric      |     2     |       1       |       1        |      2       |
|       shaped       |     3     |       2       |       2        |      0       |
|        open        |     1     |       1       |       1        |      1       |
|    respectively    |     10    |       10      |       10       |      0       |
|       square       |     1     |       1       |       1        |      1       |
|     irregular      |     3     |       1       |       1        |      1       |
|    quantitative    |     2     |       1       |       1        |      0       |
|    satisfactory    |     5     |       4       |       4        |      0       |
|     therefore      |     5     |       5       |       5        |      0       |
|     iterative      |     3     |       2       |       2        |      2       |
|         ii         |     5     |       5       |       5        |      0       |
|     simulated      |     3     |       2       |       2        |      0       |
|      simulate      |     3     |       2       |       2        |      0       |
|      phantom       |     2     |       2       |       2        |      2       |
|       found        |     2     |       2       |       2        |      0       |
|      clinical      |     2     |       2       |       2        |      0       |
|      degrees       |     6     |       1       |       1        |      0       |
|       fitted       |     1     |       1       |       1        |      0       |
|        diam        |     1     |       1       |       1        |      0       |
|      smaller       |     4     |       3       |       3        |      0       |
|        led         |     2     |       2       |       2        |      0       |
|      degraded      |     1     |       1       |       1        |      0       |
|     reasonable     |     2     |       2       |       2        |      0       |
|      scanned       |     1     |       1       |       1        |      1       |
|        mev         |     3     |       1       |       1        |      2       |
|      central       |     1     |       1       |       1        |      1       |
|     microtron      |     3     |       1       |       1        |      1       |
|         rk         |     1     |       1       |       1        |      0       |
|       source       |     3     |       1       |       1        |      1       |
|      chamber       |     2     |       1       |       1        |      1       |
|        air         |     6     |       2       |       2        |      3       |
|       beams        |     4     |       1       |       1        |      1       |
|        runs        |     3     |       2       |       2        |      0       |
|      compute       |     1     |       1       |       1        |      0       |
|      relative      |     2     |       2       |       2        |      1       |
|      computed      |     1     |       1       |       1        |      0       |
|     typically      |     4     |       4       |       4        |      0       |
|    representing    |     6     |       5       |       5        |      0       |
|       volume       |     7     |       2       |       2        |      0       |
|      utilized      |     2     |       1       |       1        |      0       |
|       plans        |     7     |       1       |       1        |      0       |
|        leaf        |     7     |       1       |       1        |      1       |
|     utilizing      |     4     |       4       |       4        |      0       |
|        plan        |     1     |       1       |       1        |      0       |
|         vs         |     1     |       1       |       1        |      0       |
|        dmlc        |     3     |       1       |       1        |      0       |
|     verifying      |     1     |       1       |       1        |      0       |
|    experimental    |     5     |       5       |       5        |      1       |
|       doses        |     1     |       1       |       1        |      0       |
|        imrt        |     3     |       1       |       1        |      2       |
|    deliverable     |     1     |       1       |       1        |      1       |
|       tested       |     1     |       1       |       1        |      0       |
|       direct       |     6     |       1       |       1        |      1       |
|       units        |     6     |       4       |       4        |      2       |
|      produces      |     2     |       2       |       2        |      0       |
|        seed        |     5     |       1       |       1        |      3       |
|      implants      |     2     |       1       |       1        |      2       |
|      enlarge       |     1     |       1       |       1        |      0       |
|      outside       |     3     |       1       |       1        |      0       |
|       fails        |     1     |       1       |       1        |      0       |
|       create       |     3     |       3       |       3        |      0       |
|     favorable      |     1     |       1       |       1        |      0       |
|      volumes       |     3     |       2       |       2        |      0       |
|       affect       |     2     |       2       |       2        |      0       |
|         t          |     1     |       1       |       1        |      0       |
|       parts        |     2     |       1       |       1        |      0       |
|     admissible     |     2     |       1       |       1        |      0       |
|      article       |     1     |       1       |       1        |      0       |
|         x          |     8     |       1       |       1        |      0       |
|        rho         |     1     |       1       |       1        |      0       |
|    conditional     |     1     |       1       |       1        |      0       |
|   teleportation    |     1     |       1       |       1        |      1       |
|    stabilizers     |     1     |       1       |       1        |      0       |
|   superstructure   |     2     |       1       |       1        |      1       |
|         tf         |     1     |       1       |       1        |      0       |
|       taken        |     3     |       3       |       3        |      0       |
|     mostowski      |     1     |       1       |       1        |      1       |
|     recognized     |     2     |       2       |       2        |      0       |
|      composed      |     1     |       1       |       1        |      0       |
|       whose        |     12    |       7       |       7        |      0       |
|        set         |     2     |       1       |       1        |      0       |
|      practice      |     1     |       1       |       1        |      0       |
|       faced        |     2     |       2       |       2        |      0       |
|       total        |     3     |       3       |       3        |      1       |
|        area        |     9     |       3       |       3        |      2       |
|       actual       |     8     |       8       |       8        |      0       |
|       curved       |     1     |       1       |       1        |      0       |
|      limited       |     5     |       3       |       3        |      0       |
|       within       |     7     |       5       |       5        |      0       |
|      activity      |     2     |       2       |       2        |      0       |
|     operations     |     2     |       2       |       2        |      1       |
|   representation   |     1     |       1       |       1        |      1       |
|     prototype      |     3     |       1       |       1        |      0       |
|      facility      |     3     |       3       |       3        |      1       |
|       expert       |     3     |       1       |       1        |      2       |
|    indentation     |     1     |       1       |       1        |      1       |
|      beneath       |     1     |       1       |       1        |      0       |
|      dominant      |     2     |       2       |       2        |      0       |
|   comprehensive    |     1     |       1       |       1        |      0       |
|      presents      |     6     |       6       |       6        |      0       |
|       forces       |     1     |       1       |       1        |      0       |
|      created       |     4     |       4       |       4        |      0       |
|       later        |     1     |       1       |       1        |      0       |
|       signal       |     5     |       2       |       2        |      3       |
|      indirect      |     2     |       1       |       1        |      1       |
|  characteristics   |     2     |       1       |       1        |      0       |
|    investigates    |     1     |       1       |       1        |      0       |
|   characteristic   |     1     |       1       |       1        |      0       |
|     performing     |     1     |       1       |       1        |      0       |
|        hole        |     6     |       1       |       1        |      1       |
|       format       |     1     |       1       |       1        |      0       |
|     sensitive      |     1     |       1       |       1        |      0       |
|     evolution      |     4     |       1       |       1        |      1       |
|        rule        |     3     |       2       |       2        |      0       |
|       motors       |     1     |       1       |       1        |      0       |
|     controlled     |     4     |       3       |       3        |      1       |
|      measured      |     6     |       3       |       3        |      0       |
|     terminals      |     2     |       2       |       2        |      1       |
|      require       |     1     |       1       |       1        |      0       |
|       rotor        |     2     |       1       |       1        |      0       |
|      against       |     5     |       5       |       5        |      0       |
|      complex       |     6     |       4       |       4        |      0       |
|      additive      |     2     |       1       |       1        |      0       |
|      finding       |     3     |       3       |       3        |      0       |
|     improving      |     2     |       2       |       2        |      0       |
|     organized      |     1     |       1       |       1        |      0       |
|     performed      |     2     |       2       |       2        |      0       |
|       formed       |     3     |       2       |       2        |      0       |
|    distributed     |     3     |       2       |       2        |      1       |
|       robust       |     7     |       4       |       4        |      3       |
|    asynchronous    |     7     |       1       |       1        |      1       |
|     implicitly     |     1     |       1       |       1        |      0       |
|      superior      |     2     |       2       |       2        |      0       |
|     revealing      |     1     |       1       |       1        |      0       |
|      odyssey       |     1     |       1       |       1        |      0       |
|       those        |     6     |       4       |       4        |      0       |
|        your        |     6     |       5       |       5        |      0       |
|       evolve       |     2     |       2       |       2        |      0       |
|        help        |     9     |       8       |       8        |      0       |
|        keep        |     1     |       1       |       1        |      0       |
|     successful     |     9     |       8       |       8        |      0       |
|       basis        |     1     |       1       |       1        |      0       |
|      networks      |     7     |       3       |       3        |      3       |
|       there        |     12    |       8       |       8        |      0       |
|       begin        |     1     |       1       |       1        |      0       |
|      zealous       |     1     |       1       |       1        |      0       |
|        same        |     7     |       7       |       7        |      0       |
|      sectors       |     1     |       1       |       1        |      0       |
|        crm         |     3     |       1       |       1        |      1       |
|     management     |     14    |       7       |       7        |      9       |
|      software      |     4     |       2       |       2        |      1       |
|      internet      |     19    |       7       |       7        |      11      |
|       latest       |     5     |       5       |       5        |      0       |
|      although      |     6     |       6       |       6        |      0       |
|        jpeg        |     3     |       1       |       1        |      0       |
|       style        |     1     |       1       |       1        |      0       |
|    investigated    |     6     |       6       |       6        |      0       |
|      uniform       |     1     |       1       |       1        |      0       |
|     developed      |     17    |       10      |       10       |      0       |
|     enclosing      |     1     |       1       |       1        |      0       |
|      positive      |     4     |       4       |       4        |      0       |
|       apply        |     3     |       2       |       2        |      0       |
|      explicit      |     2     |       2       |       2        |      1       |
|      solving       |     6     |       4       |       4        |      1       |
|       stable       |     6     |       2       |       2        |      1       |
|       symdae       |     2     |       1       |       1        |      0       |
|     solutions      |     4     |       2       |       2        |      0       |
|        case        |     9     |       5       |       5        |      0       |
|       detail       |     1     |       1       |       1        |      0       |
|       gauss        |     1     |       1       |       1        |      0       |
|     tolerances     |     1     |       1       |       1        |      0       |
|     introduce      |     3     |       3       |       3        |      0       |
|     estimator      |     1     |       1       |       1        |      1       |
|      dynamism      |     2     |       2       |       2        |      0       |
|        way         |     7     |       2       |       2        |      2       |
|       takes        |     3     |       3       |       3        |      0       |
|     displayed      |     1     |       1       |       1        |      0       |
|        rely        |     1     |       1       |       1        |      0       |
|    oscillatory     |     1     |       1       |       1        |      0       |
|       terms        |     2     |       2       |       2        |      2       |
|        view        |     2     |       2       |       2        |      0       |
|       large        |     14    |       10      |       10       |      0       |
|   manufacturers    |     5     |       2       |       2        |      0       |
|      portable      |     5     |       2       |       2        |      0       |
|       rules        |     1     |       1       |       1        |      0       |
|      further       |     5     |       5       |       5        |      0       |
|     compatible     |     1     |       1       |       1        |      0       |
|    application     |     6     |       3       |       3        |      1       |
|  instrumentation   |     3     |       1       |       1        |      1       |
|        ncsa        |     1     |       1       |       1        |      0       |
|    substantial     |     2     |       2       |       2        |      0       |
|      despite       |     2     |       2       |       2        |      0       |
|       trend        |     1     |       1       |       1        |      0       |
|        now         |     6     |       6       |       6        |      0       |
|       group        |     6     |       3       |       3        |      1       |
|      toolkit       |     2     |       1       |       1        |      1       |
|    constructing    |     5     |       4       |       4        |      0       |
|       highly       |     1     |       1       |       1        |      0       |
|       grids        |     2     |       1       |       1        |      0       |
|     scientific     |     1     |       1       |       1        |      0       |
|       steals       |     1     |       1       |       1        |      0       |
|      traffic       |     9     |       2       |       2        |      2       |
|        will        |     26    |       15      |       15       |      0       |
|       enable       |     5     |       5       |       5        |      0       |
|     generation     |     5     |       4       |       4        |      1       |
|    traditional     |     10    |       5       |       5        |      0       |
|       solid        |     3     |       1       |       1        |      2       |
|    propagation     |     1     |       1       |       1        |      1       |
|      package       |     2     |       2       |       2        |      0       |
|        pyre        |     3     |       1       |       1        |      1       |
|      language      |     4     |       4       |       4        |      2       |
|      engines       |     1     |       1       |       1        |      0       |
|     efficient      |     25    |       19      |       19       |      0       |
|      remains       |     2     |       2       |       2        |      0       |
|        ctl         |     7     |       3       |       3        |      3       |
|   compositional    |     1     |       1       |       1        |      1       |
|    additionally    |     2     |       2       |       2        |      0       |
|     optimizing     |     3     |       3       |       3        |      1       |
|    historically    |     1     |       1       |       1        |      0       |
|      specific      |     8     |       7       |       7        |      0       |
|    descriptions    |     1     |       1       |       1        |      0       |
|       named        |     5     |       3       |       3        |      0       |
|       human        |     1     |       1       |       1        |      0       |
|         do         |     9     |       7       |       7        |      0       |
|     subsequent     |     2     |       2       |       2        |      0       |
|       tasks        |     4     |       3       |       3        |      0       |
|     diagnosing     |     1     |       1       |       1        |      0       |
|      consumed      |     1     |       1       |       1        |      0       |
|      embedded      |     6     |       3       |       3        |      2       |
|      contain       |     1     |       1       |       1        |      0       |
|     integrates     |     1     |       1       |       1        |      0       |
|      assembly      |     9     |       1       |       1        |      3       |
|     subjected      |     3     |       3       |       3        |      0       |
|     formalisms     |     2     |       2       |       2        |      0       |
|      changes       |     1     |       1       |       1        |      0       |
|      business      |     9     |       7       |       7        |      7       |
|      current       |     11    |       9       |       9        |      0       |
|    technologies    |     6     |       4       |       4        |      2       |
|      applying      |     3     |       3       |       3        |      0       |
|      shamash       |     3     |       1       |       1        |      1       |
|   reengineering    |     2     |       1       |       1        |      1       |
|     functional     |     1     |       1       |       1        |      1       |
|     standards      |     1     |       1       |       1        |      1       |
|      develop       |     6     |       5       |       5        |      0       |
|    optimisation    |     2     |       2       |       2        |      1       |
|     cognitive      |     2     |       1       |       1        |      1       |
|    development     |     6     |       2       |       2        |      2       |
|   geographically   |     1     |       1       |       1        |      0       |
|    interactive     |     1     |       1       |       1        |      0       |
|   administration   |     1     |       1       |       1        |      0       |
|      pictures      |     1     |       1       |       1        |      0       |
|      creates       |     1     |       1       |       1        |      0       |
|      supports      |     7     |       7       |       7        |      0       |
|      finance       |     4     |       1       |       1        |      1       |
|      generic       |     2     |       1       |       1        |      0       |
|     developing     |     5     |       4       |       4        |      0       |
|      provided      |     3     |       3       |       3        |      0       |
|   decomposition    |     3     |       1       |       1        |      1       |
|       plays        |     2     |       2       |       2        |      0       |
|     blackboard     |     6     |       1       |       1        |      1       |
|      directed      |     1     |       1       |       1        |      0       |
|     algorithm      |     23    |       9       |       9        |      4       |
|    consistency     |     7     |       1       |       1        |      2       |
|       lotos        |     2     |       1       |       1        |      1       |
|      whereas       |     3     |       3       |       3        |      0       |
|     achieving      |     4     |       4       |       4        |      0       |
|  implementations   |     2     |       2       |       2        |      0       |
|       mining       |     4     |       1       |       1        |      2       |
|    formalising     |     1     |       1       |       1        |      0       |
|       solve        |     4     |       3       |       3        |      0       |
|      weighted      |     5     |       3       |       3        |      4       |
|       sales        |     2     |       1       |       1        |      0       |
|       whilst       |     1     |       1       |       1        |      0       |
|         ip         |     1     |       1       |       1        |      0       |
|     qualified      |     1     |       1       |       1        |      0       |
|      enabled       |     1     |       1       |       1        |      0       |
|        mori        |     2     |       1       |       1        |      1       |
|      company       |     6     |       6       |       6        |      2       |
|     harnesses      |     1     |       1       |       1        |      0       |
|       party        |     1     |       1       |       1        |      0       |
|       backup       |     2     |       1       |       1        |      1       |
|      security      |     2     |       2       |       2        |      2       |
|     disturbed      |     1     |       1       |       1        |      0       |
|         ie         |     1     |       1       |       1        |      1       |
|    consultancy     |     1     |       1       |       1        |      1       |
|       wanted       |     3     |       2       |       2        |      0       |
|      powerful      |     3     |       3       |       3        |      0       |
|      supplier      |     1     |       1       |       1        |      0       |
|        time        |     12    |       6       |       6        |      6       |
|       openmp       |     3     |       1       |       1        |      0       |
|     neglected      |     1     |       1       |       1        |      0       |
|        data        |     42    |       14      |       14       |      9       |
|        much        |     4     |       3       |       3        |      0       |
|        hpf         |     21    |       3       |       3        |      3       |
|      features      |     3     |       3       |       3        |      0       |
|    modernizing     |     1     |       1       |       1        |      0       |
|     available      |     6     |       6       |       6        |      0       |
|      project       |     3     |       3       |       3        |      0       |
|       level        |     5     |       4       |       4        |      2       |
|      writing       |     1     |       1       |       1        |      0       |
|      programs      |     11    |       3       |       3        |      1       |
|      compiler      |     3     |       2       |       2        |      1       |
|       suite        |     5     |       1       |       1        |      1       |
|      ideally       |     1     |       1       |       1        |      0       |
|      japanese      |     3     |       1       |       1        |      0       |
|     compilers      |     3     |       1       |       1        |      1       |
|       though       |     2     |       2       |       2        |      0       |
|     evaluated      |     3     |       2       |       2        |      0       |
|      pricing       |     5     |       1       |       1        |      3       |
|       aurora       |     1     |       1       |       1        |      1       |
|     induction      |     2     |       1       |       1        |      1       |
|       kernel       |     2     |       1       |       1        |      1       |
|        fem         |     1     |       1       |       1        |      0       |
|     interface      |     1     |       1       |       1        |      0       |
|       global       |     5     |       3       |       3        |      1       |
|       vector       |     9     |       4       |       4        |      6       |
|      describe      |     3     |       3       |       3        |      0       |
|        less        |     2     |       2       |       2        |      0       |
|    furthermore     |     5     |       5       |       5        |      0       |
|      renders       |     1     |       1       |       1        |      0       |
|      product       |     2     |       2       |       2        |      1       |
|     automatic      |     2     |       2       |       2        |      1       |
|      library       |     8     |       2       |       2        |      3       |
|      template      |     2     |       1       |       1        |      0       |
|     extensions     |     8     |       4       |       4        |      1       |
|      extract       |     1     |       1       |       1        |      0       |
|   communication    |     1     |       1       |       1        |      2       |
|      parallel      |     2     |       1       |       1        |      1       |
|         bt         |     1     |       1       |       1        |      0       |
|     usability      |     1     |       1       |       1        |      0       |
|       codes        |     1     |       1       |       1        |      0       |
|     increasing     |     5     |       5       |       5        |      0       |
|     discussion     |     1     |       1       |       1        |      0       |
|      commonly      |     2     |       2       |       2        |      0       |
|      overlook      |     1     |       1       |       1        |      0       |
|     resolving      |     1     |       1       |       1        |      0       |
|       forms        |     1     |       1       |       1        |      0       |
|       failed       |     1     |       1       |       1        |      0       |
|        what        |     14    |       7       |       7        |      0       |
|        why         |     3     |       3       |       3        |      0       |
|     suggesting     |     1     |       1       |       1        |      0       |
|       itself       |     3     |       3       |       3        |      0       |
|      seeking       |     1     |       1       |       1        |      0       |
|    associations    |     1     |       1       |       1        |      0       |
|         uk         |     1     |       1       |       1        |      0       |
|     mainstream     |     1     |       1       |       1        |      0       |
|       market       |     4     |       3       |       3        |      2       |
|      british       |     1     |       1       |       1        |      1       |
|       press        |     2     |       2       |       2        |      1       |
|      focuses       |     1     |       1       |       1        |      0       |
|        free        |     6     |       4       |       4        |      0       |
|       access       |     13    |       5       |       5        |      5       |
|      leading       |     2     |       2       |       2        |      0       |
|       versus       |     3     |       3       |       3        |      0       |
|    professional    |     1     |       1       |       1        |      0       |
|       bring        |     2     |       2       |       2        |      0       |
|      coherent      |     2     |       1       |       1        |      1       |
|        fast        |     5     |       2       |       2        |      1       |
|      overhead      |     2     |       1       |       1        |      0       |
|        meta        |     1     |       1       |       1        |      0       |
|      platform      |     7     |       4       |       4        |      0       |
|       schema       |     1     |       1       |       1        |      1       |
|      commerce      |     3     |       1       |       1        |      1       |
|     deploying      |     2     |       1       |       1        |      0       |
|        jase        |     7     |       1       |       1        |      1       |
|      utilizes      |     1     |       1       |       1        |      0       |
|       mobile       |     16    |       5       |       5        |      6       |
|      queries       |     1     |       1       |       1        |      0       |
|      notation      |     1     |       1       |       1        |      0       |
|     properties     |     8     |       5       |       5        |      1       |
|       sample       |     1     |       1       |       1        |      0       |
|     supporting     |     4     |       4       |       4        |      0       |
|      grafting      |     4     |       1       |       1        |      1       |
|        onto        |     2     |       2       |       2        |      0       |
|     succession     |     6     |       1       |       1        |      1       |
|     developers     |     4     |       2       |       2        |      0       |
|  standardization   |     4     |       2       |       2        |      2       |
|        xml         |     8     |       2       |       2        |      2       |
|       tests        |     2     |       2       |       2        |      0       |
|    hypothetical    |     4     |       1       |       1        |      1       |
|      network       |     17    |       8       |       8        |      9       |
|        slow        |     2     |       2       |       2        |      0       |
|       occur        |     2     |       1       |       1        |      0       |
|       match        |     2     |       2       |       2        |      0       |
|        test        |     1     |       1       |       1        |      0       |
|       class        |     7     |       2       |       2        |      2       |
|       queue        |     4     |       2       |       2        |      1       |
|      pointers      |     1     |       1       |       1        |      0       |
|     situation      |     4     |       3       |       3        |      0       |
|       remedy       |     2     |       1       |       1        |      0       |
|       paper        |     8     |       4       |       4        |      0       |
|        card        |     2     |       1       |       1        |      1       |
|     realizing      |     1     |       1       |       1        |      0       |
|     consisting     |     1     |       1       |       1        |      0       |
|        dsp         |     2     |       1       |       1        |      1       |
|        fpga        |     6     |       1       |       1        |      2       |
|    constructed     |     7     |       4       |       4        |      0       |
|     projector      |     1     |       1       |       1        |      0       |
|     comprised      |     1     |       1       |       1        |      0       |
|        mpeg        |     4     |       1       |       1        |      1       |
|    uncertainty     |     3     |       2       |       2        |      2       |
|      exactly       |     1     |       1       |       1        |      0       |
|      problem       |     20    |       8       |       8        |      3       |
|   combinatorial    |     1     |       1       |       1        |      1       |
|    asymptotical    |     1     |       1       |       1        |      1       |
|    classifying     |     1     |       1       |       1        |      0       |
|      concern       |     1     |       1       |       1        |      0       |
|    coefficient     |     3     |       2       |       2        |      1       |
|        mss         |     3     |       1       |       1        |      1       |
|      precise       |     1     |       1       |       1        |      0       |
